epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,n_windows,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/n_windows,sca/AP@0.3,sca/AP@0.5,sca/F1,sca/precision,sca/recall,sca/best_conf,sca/n_windows,sel,sel_smoothed
2,0.42209627306896386,0.11891646817501814,0.05075638105364523,0.11716247139588101,0.12086874409820586,0.11367673179396093,0.46,1126.0,0.018253836120378536,0.006633997929440947,0.04124926340601061,0.06129597197898424,0.03108348134991119,0.21,1126.0,0.018260579367145327,0.0067408965081089955,0.04159592529711375,0.03983739837398374,0.043516873889875664,0.18,1126.0,0.019366970120223675,0.019366970120223675
4,0.395998514564447,0.15051096350570115,0.07165237099615515,0.15083251714005877,0.16812227074235808,0.13676731793960922,0.32,1126.0,0.03210417505019867,0.00616250783403703,0.044559099437148225,0.030274059910771194,0.08436944937833037,0.14,1126.0,0.0315308271973524,0.00616592686847139,0.04504072831816004,0.03083989501312336,0.08348134991119005,0.14,1126.0,0.02681265976274009,0.023089814941481882
6,0.37617525787636896,0.16592598304835282,0.08756214378642305,0.1668533034714446,0.22575757575757577,0.13232682060390763,0.45,1126.0,0.12866785374506448,0.05472390431792706,0.12598425196850394,0.13165537270087124,0.12078152753108348,0.31,1126.0,0.12746686627668313,0.05433609452656435,0.12639405204460966,0.13255360623781676,0.12078152753108348,0.31,1126.0,0.10594794856161115,0.050709192814858306
8,0.36588384613091596,0.14681513138293628,0.07302567955778225,0.15991116046640755,0.21333333333333335,0.12788632326820604,0.44,1126.0,0.14434009022053423,0.06220647067562325,0.13831258644536654,0.14381591562799617,0.13321492007104796,0.29,1126.0,0.1412731323376305,0.06107343583665162,0.13866914844113543,0.14565004887585534,0.13232682060390763,0.29,1126.0,0.1184945036020274,0.08375170397545954
10,0.3504417980907807,0.15574514773378095,0.08413815417725187,0.18653421633554082,0.24635568513119532,0.15008880994671403,0.51,1126.0,0.14014467152194715,0.06886286785230752,0.1503970107426436,0.15862068965517243,0.14298401420959148,0.29,1126.0,0.13616395921438437,0.06720526990924156,0.15071090047393365,0.16158536585365854,0.14120781527531084,0.29,1126.0,0.12081059826519455,0.11508435014294438
12,0.33560742474162897,0.15706693796609655,0.08541487346467999,0.17848970251716248,0.2508038585209003,0.13854351687388988,0.43,1126.0,0.15389959700845096,0.08035713672778981,0.15555555555555556,0.2550607287449393,0.11190053285968028,0.53,1126.0,0.15021602313506865,0.07918019725504422,0.15537600994406464,0.2587991718426501,0.11101243339253997,0.53,1126.0,0.13216805063367354,0.12382438416696517
14,0.3171369450201655,0.14615009947012012,0.07944610040627896,0.17046117921774662,0.24872231686541738,0.12966252220248667,0.5700000000000001,1126.0,0.1578573672259966,0.08105060652996676,0.16858237547892718,0.3,0.1172291296625222,0.65,1126.0,0.15499946193616246,0.07967977589300874,0.16698534098151688,0.29571106094808125,0.11634103019538189,0.64,1126.0,0.13696034066777377,0.12997966318888063
16,0.30491349031207066,0.17135868512920305,0.0974488270980332,0.194206008583691,0.24525745257452575,0.16074600355239788,0.36,1126.0,0.1655255174148041,0.08643004707097605,0.17450365726227796,0.21192893401015228,0.1483126110124334,0.41000000000000003,1126.0,0.16085918907695526,0.08413090766553939,0.1736896197327852,0.20609756097560974,0.15008880994671403,0.39,1126.0,0.14359250428115045,0.1375736318608659
18,0.29531549800310297,0.12295971832447361,0.07797020425732784,0.16216216216216217,0.2504638218923933,0.11989342806394317,0.56,1126.0,0.14966908720060426,0.08417848869018502,0.17386018237082068,0.27552986512524086,0.1269982238010657,0.62,1126.0,0.1470885103290161,0.0831494581793858,0.17329376854599404,0.26118067978533094,0.12966252220248667,0.5700000000000001,1126.0,0.13486012668152178,0.138470990543482
20,0.28537914222392907,0.11679993677036246,0.0578460118645063,0.13250982594048286,0.1801526717557252,0.10479573712255773,0.42,1126.0,0.1399945374232221,0.07980386278549861,0.17080745341614909,0.20471464019851116,0.14653641207815277,0.43,1126.0,0.13557273165584421,0.07801616187525386,0.1702574881765633,0.2084942084942085,0.1438721136767318,0.43,1126.0,0.12809991823049044,0.1355175163977209
