Run: stfs_crrcd_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_crrcd_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p11_v10            16   16   0.100  0.024  0.000  0.007   0.105  0.091  0.125  0.130      0  0.0000
  p11_v14             5    5   0.212  0.103  0.000  0.031   0.170  0.095  0.800  0.040      1  0.2000
  p11_v16            14    2   0.222  0.222  0.013  0.067   0.364  0.222  1.000  0.490      0  0.0000
  p11_v17            13   13   0.489  0.421  0.000  0.126   0.538  0.538  0.538  0.180      0  0.0000
  p11_v18            10   10   0.195  0.001  0.000  0.000   0.007  0.004  0.100  0.020      0  0.0000
  p11_v8             12   12   0.051  0.000  0.000  0.000   0.002  0.001  0.083  0.010      0  0.0000
  p11_v9              7    7   0.040  0.001  0.001  0.001   0.011  0.005  0.143  0.020      0  0.0000
  p12_v1             11   12   0.010  0.001  0.000  0.000   0.009  0.005  0.083  0.030      0  0.0000
  p12_v11             6    6   0.003  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p12_v16             5   15   0.007  0.001  0.000  0.000   0.005  0.003  0.267  0.000      0  0.0000
  p12_v17             1    4   0.009  0.003  0.000  0.001   0.019  0.010  0.250  0.010      0  0.0000
  p12_v2             19   19   0.004  0.000  0.000  0.000   0.001  0.001  0.211  0.000      1  0.0526
  p12_v22             6   12   0.161  0.023  0.000  0.004   0.081  0.046  0.333  0.030      0  0.0000
  p12_v7             24   24   0.283  0.283  0.009  0.106   0.375  0.268  0.625  0.090      2  0.0833
  p12_v8             19   38   0.294  0.173  0.011  0.053   0.296  0.221  0.447  0.060      2  0.0526
  p13_v10             1    1   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p13_v14             1    1   0.500  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p13_v5             16   16   0.071  0.008  0.000  0.002   0.062  0.062  0.062  0.170      0  0.0000
  p14_v1             15   30   0.258  0.166  0.004  0.040   0.289  0.209  0.467  0.050      0  0.0000
  p14_v10             1    2   0.027  0.023  0.000  0.005   0.022  0.011  0.500  0.010      0  0.0000
  p14_v2             14   28   0.173  0.007  0.000  0.001   0.051  0.033  0.107  0.050      0  0.0000
  p15_v1             18   54   0.333  0.030  0.000  0.006   0.097  0.375  0.056  0.700      1  0.0185
  p15_v2             18   54   0.274  0.135  0.027  0.051   0.256  0.417  0.185  0.110      0  0.0000
  p15_v3             12   24   0.567  0.147  0.000  0.019   0.250  0.500  0.167  0.530      0  0.0000
  p15_v4             20   40   0.561  0.286  0.002  0.062   0.319  0.379  0.275  0.140      0  0.0000
  p15_v5              6    8   0.489  0.110  0.000  0.013   0.267  0.286  0.250  0.170      0  0.0000
  p15_v8              1    2   0.214  0.024  0.000  0.012   0.025  0.013  0.500  0.010      0  0.0000
  p16_v1             11   11   0.074  0.036  0.000  0.008   0.100  0.058  0.364  0.040      1  0.0909
  p16_v12            12   24   0.740  0.002  0.000  0.000   0.025  0.014  0.125  0.020      1  0.0417
  p16_v13            13   12   0.029  0.026  0.000  0.007   0.059  0.036  0.167  0.050      0  0.0000
  p16_v14             2    2   0.071  0.010  0.000  0.002   0.012  0.006  0.500  0.010      0  0.0000
  p16_v22             6    6   0.148  0.041  0.000  0.007   0.121  0.074  0.333  0.070      0  0.0000
  p17_v1              9    9   0.046  0.031  0.005  0.013   0.087  0.071  0.111  0.130      0  0.0000
  p17_v12             1    1   0.167  0.006  0.000  0.001   0.007  0.003  1.000  0.000      0  0.0000
  p17_v16             7    7   0.758  0.409  0.001  0.068   0.500  0.600  0.429  0.470      0  0.0000
  p17_v18             2    2   0.143  0.022  0.000  0.008   0.040  0.021  0.500  0.020      0  0.0000
  p17_v19             5    5   0.041  0.018  0.000  0.004   0.016  0.009  0.200  0.020      0  0.0000
  p17_v4              3    3   0.054  0.037  0.000  0.013   0.048  0.026  0.333  0.030      0  0.0000
  p18_v12            20   21   0.003  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p18_v4              4    4   0.331  0.331  0.013  0.139   0.500  0.500  0.500  0.200      0  0.0000
  p18_v5             12   24   0.057  0.010  0.000  0.002   0.036  0.021  0.125  0.030      0  0.0000
  p18_v7             11   11   0.363  0.247  0.013  0.067   0.400  0.444  0.364  0.470      0  0.0000
  p18_v8             13   17   0.131  0.076  0.007  0.025   0.156  0.106  0.294  0.100      0  0.0000
  p18_v9              3    3   1.000  1.000  0.000  0.301   1.000  1.000  1.000  0.210      0  0.0000
  p20_v19            12   12   0.759  0.530  0.002  0.121   0.563  0.450  0.750  0.100      2  0.1667
  p20_v2              4    6   0.489  0.111  0.001  0.023   0.222  0.333  0.167  0.410      0  0.0000
  p20_v21             5    5   1.000  1.000  0.000  0.148   1.000  1.000  1.000  0.140      0  0.0000
  p20_v22             1    2   0.504  0.500  0.000  0.062   0.667  1.000  0.500  0.110      0  0.0000
  p20_v3              3    6   0.542  0.501  0.083  0.192   0.667  1.000  0.500  0.120      0  0.0000
  p20_v4              1    1   1.000  1.000  0.000  0.225   1.000  1.000  1.000  0.080      0  0.0000
  p20_v8             17   17   0.975  0.395  0.001  0.085   0.485  0.500  0.471  0.540      3  0.1765
  p21_v11             1    1   1.000  1.000  0.040  0.130   1.000  1.000  1.000  0.110      0  0.0000
  p21_v2              1    2   0.500  0.029  0.000  0.007   0.100  0.056  0.500  0.030      0  0.0000
  p21_v8              9    9   0.893  0.893  0.000  0.177   0.889  0.889  0.889  0.170      0  0.0000
  p22_v14             8   10   0.001  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p22_v21             1    1   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p22_v22             7    7   0.021  0.021  0.001  0.006   0.037  0.019  0.571  0.020      1  0.1429
  p22_v32            23   23   0.193  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p22_v6              5    1   0.004  0.001  0.000  0.000   0.002  0.001  1.000  0.010      0  0.0000
  p23_v1             23   23   0.063  0.000  0.000  0.000   0.006  0.003  0.043  0.030      0  0.0000
  p23_v10            20   20   0.019  0.001  0.000  0.000   0.012  0.007  0.050  0.060      0  0.0000
  p23_v11             2    2   0.643  0.077  0.000  0.030   0.182  0.111  0.500  0.100      0  0.0000
  p23_v13             9    9   0.063  0.012  0.000  0.002   0.105  0.100  0.111  0.140      0  0.0000
  p23_v18            14   14   0.621  0.144  0.000  0.034   0.300  0.500  0.214  0.620      0  0.0000
  p23_v5              8    8   0.167  0.116  0.003  0.032   0.196  0.116  0.625  0.050      1  0.1250
  p24_v12             5   20   0.133  0.022  0.000  0.004   0.061  0.038  0.150  0.030      1  0.0500
  p24_v15            25   75   0.370  0.268  0.014  0.083   0.342  0.338  0.347  0.100      0  0.0000
  p24_v18            10   10   0.025  0.014  0.002  0.005   0.017  0.009  0.900  0.010      0  0.0000
  p24_v2             21   84   0.274  0.238  0.034  0.082   0.393  0.632  0.286  0.160      1  0.0119
  p24_v22             9    9   0.036  0.036  0.005  0.016   0.092  0.051  0.444  0.050      0  0.0000
  p24_v23            15   15   0.672  0.000  0.000  0.000   0.000  0.000  0.067  0.000      0  0.0000
  p24_v3             16   16   0.090  0.087  0.021  0.040   0.188  0.188  0.188  0.210      1  0.0625
  p24_v4             25  145   0.204  0.079  0.001  0.019   0.132  0.101  0.193  0.040      0  0.0000
  p24_v5              2   12   0.099  0.095  0.045  0.046   0.148  0.133  0.167  0.040      0  0.0000
  p25_v10             5    5   1.000  1.000  0.203  0.433   1.000  1.000  1.000  0.160      0  0.0000
  p25_v14             5    5   0.025  0.025  0.004  0.007   0.052  0.028  0.400  0.030      0  0.0000
  p25_v17             5    4   0.084  0.075  0.000  0.009   0.222  0.200  0.250  0.190      0  0.0000
  p25_v5             11   11   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p25_v6             14   14   0.142  0.000  0.000  0.000   0.001  0.001  0.071  0.010      0  0.0000
  p25_v7             26   26   0.072  0.002  0.000  0.000   0.027  0.021  0.038  0.110      0  0.0000
  p25_v8             17   17   0.206  0.001  0.000  0.000   0.016  0.009  0.059  0.060      0  0.0000
  p26_v1              9    7   0.348  0.145  0.000  0.031   0.235  0.148  0.571  0.110      0  0.0000
  p26_v2              1    1   0.125  0.125  0.000  0.050   0.182  0.100  1.000  0.050      0  0.0000
  p29_v10             7    7   0.076  0.014  0.000  0.001   0.087  0.062  0.143  0.110      0  0.0000
  p29_v11            10   10   0.322  0.218  0.000  0.066   0.333  0.219  0.700  0.080      2  0.2000
  p29_v4              2    2   0.400  0.400  0.000  0.094   0.444  0.286  1.000  0.070      0  0.0000
  p29_v5              1    1   1.000  0.143  0.000  0.029   0.105  0.056  1.000  0.020      0  0.0000
  p30_v1              2    2   0.505  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p30_v2             15   15   0.860  0.068  0.000  0.008   0.250  0.333  0.200  0.720      0  0.0000
  p30_v3             17   17   0.882  0.026  0.000  0.003   0.108  0.100  0.118  0.150      0  0.0000
  p30_v5             15   15   0.743  0.006  0.000  0.002   0.057  0.050  0.067  0.140      0  0.0000
  p30_v6              1    1   1.000  1.000  0.000  0.300   1.000  1.000  1.000  0.120      0  0.0000
  p30_v7             10   10   0.991  0.017  0.000  0.002   0.105  0.111  0.100  0.480      0  0.0000
  p31_v10            16   32   0.365  0.012  0.001  0.002   0.044  0.077  0.031  0.610      0  0.0000
  p31_v11             1    2   0.417  0.172  0.000  0.017   0.400  0.333  0.500  0.060      0  0.0000
  p31_v12             9   20   0.527  0.055  0.000  0.009   0.142  0.084  0.450  0.030      1  0.0500
  p31_v13             1    2   0.700  0.250  0.000  0.100   0.500  0.500  0.500  0.070      0  0.0000
  p31_v18             1    1   1.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p31_v21            12   12   0.020  0.002  0.000  0.000   0.008  0.004  0.083  0.030      0  0.0000
  p31_v5             10   10   0.874  0.567  0.000  0.090   0.588  0.714  0.500  0.510      0  0.0000
  p31_v6             14   17   0.880  0.131  0.000  0.019   0.286  0.364  0.235  0.560      0  0.0000
  p31_v7              8   12   0.059  0.029  0.000  0.003   0.133  0.333  0.083  0.590      0  0.0000
  p31_v8             15   15   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v10            21   21   0.782  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v3             29   29   0.346  0.025  0.000  0.003   0.083  0.105  0.069  0.570      0  0.0000
  p32_v4             28   28   0.005  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v8             15   15   1.000  0.207  0.000  0.023   0.444  0.500  0.400  0.640      0  0.0000
  p32_v9              9    9   0.288  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p34_v10             8    4   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p34_v6              8    8   0.399  0.145  0.000  0.016   0.222  1.000  0.125  0.650      0  0.0000
  p34_v8             21   37   0.480  0.119  0.001  0.025   0.255  0.389  0.189  0.550      3  0.0811
  p34_v9             17   17   0.857  0.737  0.064  0.197   0.718  0.636  0.824  0.140      2  0.1176
  p35_v11             1    1   1.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p35_v3              9    9   0.989  0.376  0.000  0.093   0.588  0.625  0.556  0.400      0  0.0000
  p35_v5              9    9   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p35_v6             14   19   0.031  0.000  0.000  0.000   0.001  0.001  0.053  0.010      0  0.0000
  p35_v9              3    4   0.013  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v14            21   21   0.214  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v18            10   10   0.254  0.005  0.000  0.001   0.037  0.023  0.100  0.050      0  0.0000
  p36_v20             1    1   0.038  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v22             6    6   0.002  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v24            14   14   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v25            24   48   0.339  0.115  0.000  0.028   0.264  0.210  0.354  0.080      1  0.0208
  p36_v3             19   19   0.125  0.000  0.000  0.000   0.004  0.002  0.053  0.020      0  0.0000
  p36_v4              6    6   0.014  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v1             10   10   0.046  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v11             7    7   0.049  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v3             14   14   0.034  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v5              4    4   0.625  0.125  0.000  0.014   0.286  0.200  0.500  0.110      0  0.0000
  p38_v2              3    3   1.000  0.333  0.067  0.105   0.571  0.500  0.667  0.070      0  0.0000
  p38_v6             12   12   0.480  0.053  0.000  0.014   0.125  0.071  0.500  0.040      0  0.0000
  p38_v8              9    9   1.000  1.000  0.000  0.166   1.000  1.000  1.000  0.130      0  0.0000
  p39_v10             8   24   0.563  0.089  0.000  0.022   0.222  0.158  0.375  0.060      0  0.0000
  p39_v15             2    2   0.833  0.833  0.000  0.184   0.800  0.667  1.000  0.150      0  0.0000
  p39_v16             1    3   0.391  0.024  0.000  0.002   0.083  0.048  0.333  0.020      0  0.0000
  p39_v18             9    9   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p39_v2             14   28   0.451  0.001  0.000  0.000   0.034  0.032  0.036  0.110      0  0.0000
  p39_v3              7    7   0.560  0.204  0.000  0.022   0.250  1.000  0.143  0.620      0  0.0000
  p39_v6              6    6   0.886  0.324  0.000  0.076   0.444  0.667  0.333  0.690      0  0.0000
