epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.08677744899261,0.3176216912782025,0.1479617824159108,0.24849480021893813,0.3238231098430813,0.20159857904085257,0.23,0.3123573099372297,0.14660156915301698,0.24057971014492757,0.32305389221556885,0.19165186500888098,0.23,8.657235637651244
2,6.876719972489692,0.3406483689631299,0.21535508193420044,0.3081721771678103,0.5178197064989518,0.21936056838365897,0.48,0.3385575240231478,0.20896295222870795,0.29628724963361014,0.47419859265050823,0.21545293072824157,0.47000000000000003,8.521635866080466
3,6.765754114443698,0.34913147582768117,0.21861562452952144,0.29534510433386835,0.3714670255720054,0.24511545293072823,0.45,0.34219551357178185,0.21297004971885747,0.28964769647696476,0.37162726008344926,0.23730017761989342,0.45,8.644672069414048
4,6.677441552560134,0.36528257834934974,0.20423739791478804,0.2848447961046866,0.4526112185686654,0.20781527531083482,0.48,0.3588108605809197,0.19067806071437124,0.27376514445479966,0.3977657413676371,0.20870337477797513,0.46,8.632543971229405
5,6.595512532409286,0.3600828495334441,0.1758695488959608,0.2870533099004101,0.42168674698795183,0.21758436944937834,0.51,0.3544337845933247,0.16826187910056867,0.27745797835597513,0.3943062827225131,0.21403197158081705,0.5,8.830406299916296
6,6.528941947891408,0.3503244195836294,0.16744614286475437,0.2464698331193838,0.4444444444444444,0.1705150976909414,0.51,0.3441595110623388,0.16269856759815052,0.24083515416363196,0.3803680981595092,0.17619893428063943,0.48,8.705465267648917
7,6.478599514711451,0.37770898158706095,0.21133090439527097,0.29620410703173616,0.49480249480249483,0.2113676731793961,0.5,0.37261841069601104,0.206882748911725,0.2870094238339497,0.4369778423537959,0.21367673179396093,0.48,8.654260787828354
8,6.404900367166961,0.3787349622542252,0.21458218191324566,0.3011677934849416,0.48902195608782434,0.21758436944937834,0.49,0.375538148479931,0.21079764266170964,0.29267074541141214,0.4926439680538041,0.20817051509769094,0.49,8.644317908990024
9,6.3678324505685335,0.3332347054195117,0.1776987141179493,0.26533996683250416,0.3513909224011713,0.21314387211367672,0.52,0.3269203026480153,0.16874612287866186,0.2589285714285714,0.3823733518390007,0.19573712255772646,0.54,8.947988889568864
10,6.332228324237027,0.3637597182024591,0.20515474359723898,0.2849673202614379,0.5396039603960396,0.1936056838365897,0.56,0.36429164243142653,0.20484672082940653,0.2819280239054177,0.524915336236091,0.19271758436944939,0.55,8.78126238844958
11,6.275873872382868,0.36866697081911937,0.20977194465517854,0.29336579427875836,0.4661508704061896,0.21403197158081705,0.51,0.3653621027408237,0.20240139354869935,0.28266540194451034,0.42510699001426533,0.21172291296625223,0.49,8.811629664622657
12,6.2299240279127215,0.36942957612285937,0.18261928938969535,0.2787286063569682,0.4470588235294118,0.2024866785079929,0.53,0.36005806034377363,0.17753931400960013,0.2706673306772909,0.45253955037468774,0.1930728241563055,0.53,8.838875334385657
13,6.196980158258758,0.36103897055395806,0.18311616309506762,0.2790138304269393,0.43202979515828677,0.20603907637655416,0.51,0.3564417153697496,0.17385045004166888,0.2661347101619338,0.3921161825726141,0.2014209591474245,0.49,8.690608069485924
14,6.134496684716507,0.33107918483621007,0.17372454325623524,0.27458256029684597,0.45213849287169044,0.19715808170515098,0.5700000000000001,0.3269297158797103,0.17029475906227473,0.2676998943289891,0.3948735711811569,0.2024866785079929,0.53,8.842587985958554
15,6.11530617172333,0.38800849972342766,0.19358751463595092,0.2797110965200263,0.5365239294710328,0.1891651865008881,0.55,0.3796941103258554,0.18869254182228246,0.2717290646910967,0.5324002073613271,0.18241563055062168,0.55,8.717025699242818
16,6.073102328784446,0.36806412420797074,0.21001708460899532,0.3032732130928524,0.6118598382749326,0.20159857904085257,0.6,0.36331810961679806,0.20251417478360467,0.29071093650994806,0.5072976559044671,0.20373001776198935,0.56,8.900030747611824
17,6.045195223907608,0.3753489810177728,0.20522769331388144,0.28552005438477224,0.6086956521739131,0.18650088809946713,0.6,0.37426121226325393,0.19762602210468816,0.2777777777777778,0.5597416576964478,0.1847246891651865,0.58,8.920885163132716
18,6.014067821359406,0.35248732832452473,0.19047845333128266,0.273841961852861,0.5877192982456141,0.17850799289520428,0.58,0.35275556154313503,0.18455982812592372,0.2627659574468085,0.5227513227513227,0.17548845470692717,0.55,8.654691185451528
19,5.987481057220399,0.36072949220684913,0.20328576772582488,0.2980089916506101,0.5382830626450116,0.20603907637655416,0.6,0.35501078640695244,0.19678687912725035,0.29267061940204364,0.5050065302568568,0.20603907637655416,0.58,8.909347346155089
