Run: stfs_nodistill_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_nodistill_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p11_v10            16   16   0.077  0.024  0.000  0.003   0.125  0.125  0.125  0.180      0  0.0000
  p11_v14             5    5   0.134  0.068  0.000  0.021   0.154  0.125  0.200  0.120      0  0.0000
  p11_v16            14    2   0.417  0.417  0.250  0.267   0.500  0.333  1.000  0.510      0  0.0000
  p11_v17            13   13   0.553  0.361  0.000  0.073   0.455  0.556  0.385  0.470      1  0.0769
  p11_v18            10   10   0.240  0.001  0.000  0.000   0.012  0.006  0.100  0.030      0  0.0000
  p11_v8             12   12   0.030  0.000  0.000  0.000   0.001  0.000  0.083  0.000      0  0.0000
  p11_v9              7    7   0.008  0.002  0.000  0.000   0.005  0.002  0.143  0.010      0  0.0000
  p12_v1             11   12   0.016  0.004  0.000  0.001   0.033  0.021  0.083  0.090      0  0.0000
  p12_v11             6    6   0.005  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p12_v16             5   15   0.008  0.002  0.000  0.000   0.009  0.005  0.200  0.010      0  0.0000
  p12_v17             1    4   0.010  0.006  0.000  0.002   0.026  0.014  0.250  0.010      0  0.0000
  p12_v2             19   19   0.006  0.001  0.000  0.000   0.003  0.001  0.421  0.000      1  0.0526
  p12_v22             6   12   0.156  0.015  0.000  0.004   0.055  0.033  0.167  0.030      0  0.0000
  p12_v7             24   24   0.232  0.231  0.000  0.061   0.357  0.312  0.417  0.160      1  0.0417
  p12_v8             19   38   0.435  0.300  0.020  0.079   0.444  0.361  0.579  0.090      1  0.0263
  p13_v10             1    1   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p13_v14             1    1   0.500  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
