epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,6.412577699290921,0.3674505360750567,0.21708606361292293,0.28427419354838707,0.32867132867132864,0.25044404973357015,0.45,0.36425958553302196,0.21105459428648257,0.2768515711831868,0.32106866651042887,0.2433392539964476,0.45,8.554269633394606
2,6.185789942956535,0.39476294719041205,0.22107298961791616,0.297741273100616,0.35279805352798055,0.25754884547069273,0.53,0.38721777566463433,0.2170363987473841,0.292375147043097,0.3673743617307175,0.2428063943161634,0.54,8.662628687865345
3,6.072348395158792,0.39254049349326525,0.22900503597491073,0.3042284459088413,0.3985611510791367,0.24600355239786856,0.51,0.3863628833071925,0.2253557662741356,0.29833169774288515,0.3333333333333333,0.2699822380106572,0.47000000000000003,8.619434057398045
4,5.972702129042822,0.39417489998962235,0.2223515963614421,0.29813664596273287,0.3573200992555831,0.2557726465364121,0.52,0.3891750314926137,0.21606934989815008,0.2873262981924563,0.348896219233697,0.24422735346358793,0.52,8.80787378507303
5,5.921134883973888,0.40251263203020227,0.25453952566396415,0.32396891811117756,0.4954296160877514,0.24067495559502664,0.54,0.3973810749055382,0.24808788098037476,0.3103448275862069,0.42447595561035756,0.24458259325044404,0.52,8.646328949759193
6,5.8484602173931854,0.379280046082754,0.20493295470030268,0.30158730158730157,0.3730366492146597,0.2531083481349911,0.48,0.3757438948429626,0.19587981650534003,0.2902711323763955,0.3615894039735099,0.2424511545293073,0.48,8.677269709025714
7,5.797032721939619,0.37938553309236384,0.22406102801550284,0.34276729559748426,0.41815856777493604,0.29040852575488457,0.53,0.37155375216086545,0.21553038949024758,0.33034300791556725,0.4070221066319896,0.27797513321492007,0.53,8.931480319787424
8,5.7540078368888485,0.3912772814239405,0.21863432954615153,0.3031825795644891,0.2868462757527734,0.32149200710479575,0.1,0.38351001635965937,0.21329102769483302,0.2979859257461781,0.2735778998960345,0.32717584369449376,0.09,8.932087928690809
9,5.700123620176644,0.3938288659493454,0.22988816117292163,0.3168209036472509,0.4092827004219409,0.25843694493783304,0.51,0.39209360535194293,0.22842333923332808,0.308265078183172,0.38424821002386633,0.25737122557726466,0.5,8.82173439966026
10,5.6716077789244,0.40821986536158206,0.21069641080471874,0.3089337175792507,0.4400656814449918,0.23801065719360567,0.54,0.40056799044822605,0.20257780402215972,0.2965696917064698,0.3813512004466778,0.24262877442273534,0.52,8.804883439490135
