epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,6.601545501415313,0.37549348600806026,0.20226613723253561,0.27491057741440983,0.3237063778580024,0.238898756660746,0.47000000000000003,0.3739838772029667,0.19815680465921545,0.2714344600164881,0.3232695139911635,0.23392539964476022,0.47000000000000003,8.66230877240499
2,6.375609085788623,0.3878467696180314,0.22438709905697332,0.29587036069001565,0.3595933926302414,0.25133214920071045,0.51,0.3860616453701965,0.22439241451415,0.2947722023934495,0.3603696098562628,0.24937833037300178,0.51,8.700517664564417
3,6.317238187698286,0.4060323790392199,0.2423007992077646,0.30448717948717946,0.3820375335120643,0.2531083481349911,0.51,0.4024044532624007,0.24127141906941332,0.3042568039078855,0.34673937741422406,0.27104795737122556,0.49,8.559988241669133
4,6.237130999501511,0.38558400311461216,0.24174539776382004,0.3083749306711037,0.41063515509601184,0.2468916518650089,0.54,0.3849937401542534,0.23407011995669996,0.3013211946264017,0.4018359490672194,0.24103019538188278,0.54,8.617243898675797
5,6.195087865785519,0.3755071635056214,0.22528113097783423,0.2921108742004264,0.36533333333333334,0.2433392539964476,0.51,0.3751961451967958,0.22484577990238452,0.2891989664082687,0.3458590852904821,0.24849023090586145,0.5,8.706593865198446
6,6.165765391600533,0.38113932176759246,0.23303122074009472,0.30204509701101206,0.3687580025608195,0.2557726465364121,0.5,0.37978255035292835,0.22709148715656444,0.2925454368743318,0.32303069328182016,0.2673179396092362,0.48,8.560720737944258
7,6.110225184363149,0.4029069730040549,0.24489366566707182,0.32645631067961167,0.5153256704980843,0.238898756660746,0.51,0.39640850463953486,0.2359781902417802,0.3099390628283253,0.3793724279835391,0.2619893428063943,0.46,8.47561260487171
8,6.072024653444149,0.38111275261427163,0.23224618587855456,0.3124627310673822,0.47549909255898365,0.23268206039076378,0.55,0.3735473865900079,0.22610097241148158,0.3015962866523265,0.4158601311270684,0.23658969804618118,0.52,8.726019861004877
9,6.046414499680697,0.3827386743782878,0.24047674879226055,0.3021505376344086,0.38283378746594005,0.24955595026642985,0.47000000000000003,0.3807247681353536,0.2375086436514129,0.2972902326391914,0.2917735590901317,0.3030195381882771,0.14,8.622946515996405
10,6.029989830128912,0.3969815565593211,0.2504294173212472,0.3244128891316221,0.42127659574468085,0.26376554174067496,0.5,0.392570338188506,0.24619708879046287,0.3179585735639547,0.39855460385438973,0.2644760213143872,0.49,8.688523329741566
11,5.980335994041077,0.36555108021578964,0.20772214376910605,0.2955010224948875,0.3481927710843373,0.2566607460035524,0.48,0.3605329764930844,0.20273907461681864,0.28662083553675305,0.3542483660130719,0.24067495559502664,0.49,8.693926089198877
12,5.964477769156357,0.3962652236405953,0.24228810097773046,0.3118457300275482,0.4107402031930334,0.25133214920071045,0.51,0.3931042302842363,0.23808269608934263,0.3054999411141208,0.45333799370849354,0.23037300177619893,0.54,8.820536339536627
13,5.936496372335373,0.3861698804585162,0.234786054454726,0.3131156039398652,0.37608966376089664,0.2682060390763766,0.49,0.3838903606367801,0.22922543743449178,0.3045600914095773,0.36677508131098324,0.26039076376554177,0.49,8.66715001552663
14,5.906305597129428,0.3964610171901598,0.2531949045557005,0.3312708234174202,0.3569230769230769,0.30905861456483125,0.44,0.3930748620410732,0.24847175151454823,0.3264061010486177,0.3522633744855967,0.30408525754884547,0.44,8.707421439759274
15,5.8893474016377185,0.3781391600310435,0.21520669084633062,0.30901722391084097,0.3596698113207547,0.27087033747779754,0.5,0.3764417207072479,0.21083224723858146,0.30347690710949665,0.365043695380774,0.2596802841918295,0.51,8.843815176199515
16,5.866221415076951,0.364592557524836,0.24252974040171646,0.33052631578947367,0.40568475452196384,0.27886323268206037,0.48,0.3617909649825851,0.2301433809749485,0.3145639288738357,0.3892090099528549,0.26394316163410303,0.48,8.696038298573054
17,5.853886971843421,0.3652780472237107,0.2285568759658162,0.31102362204724415,0.3487858719646799,0.28063943161634103,0.47000000000000003,0.3622709908547026,0.22517151930545393,0.30742799393633147,0.35662368112543963,0.27015985790408525,0.48,9.024014168597283
