epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2749,2.88658,6.38,0.01517,0,0,0,0,nan,nan,nan,0.00330667,0.00330667,0.07024
2,140.308,2.70531,4.76626,0.01342,0,0,0,0,nan,nan,nan,0.00657426,0.00657426,0.0401743
3,205.484,2.64468,4.62296,0.01258,0.00193,0.18624,0.00173,0.00048,2.29887,4.29975,0.01311,0.00977586,0.00977586,0.0100425
4,270.441,2.59999,4.62766,0.01258,0.00032,0.00503,0.00016,6e-05,nan,nan,nan,0.009703,0.009703,0.009703
5,334.524,2.54617,4.60123,0.01211,0,0,0,0,3.68979,8.0791,0.02137,0.009604,0.009604,0.009604
6,400.692,2.46915,4.44084,0.01216,0.00086,0.00671,0.00067,0.00013,nan,nan,nan,0.009505,0.009505,0.009505
7,467.177,2.43462,4.42904,0.01128,0.01126,0.2645,0.00865,0.00265,2.04958,4.07871,0.01157,0.009406,0.009406,0.009406
8,533.632,2.37386,4.41815,0.01138,0.00179,0.10403,0.00149,0.00059,2.02339,5.58696,0.01138,0.009307,0.009307,0.009307
9,599.974,2.31318,4.37096,0.01105,0.00469,0.58587,0.01276,0.00467,1.80046,3.72064,0.00977,0.009208,0.009208,0.009208
10,666.633,2.37671,4.15794,0.01145,0.04916,0.13763,0.02349,0.00817,2.01985,3.55142,0.01111,0.009109,0.009109,0.009109
11,733.792,2.33606,4.18189,0.01086,0.05777,0.18921,0.03501,0.01334,1.86106,3.45167,0.01023,0.00901,0.00901,0.00901
12,800.074,2.3249,4.12441,0.0109,0.00821,0.47268,0.02542,0.0102,2.08799,3.82881,0.01172,0.008911,0.008911,0.008911
13,866.602,2.20901,4.08192,0.01037,0.06978,0.05614,0.02756,0.01223,1.98552,4.3375,0.01082,0.008812,0.008812,0.008812
14,931.815,2.18142,4.06358,0.01019,0.02579,0.3665,0.04269,0.01871,1.8413,4.22815,0.01023,0.008713,0.008713,0.008713
15,995.705,2.10916,3.90135,0.0096,0.10796,0.13187,0.06585,0.02676,1.71034,3.46309,0.00921,0.008614,0.008614,0.008614
16,1060.64,2.10797,3.85734,0.00956,0.01757,0.49785,0.06076,0.02879,1.79155,3.74389,0.00979,0.008515,0.008515,0.008515
17,1126.71,2.08867,3.74532,0.00937,0.25387,0.05696,0.08777,0.04094,1.60519,3.13143,0.0086,0.008416,0.008416,0.008416
18,1193,2.10584,3.6956,0.00963,0.10976,0.14572,0.0547,0.02375,1.8206,3.85764,0.00987,0.008317,0.008317,0.008317
19,1259.56,2.14072,3.57735,0.00951,0.21859,0.07752,0.10809,0.05158,1.64133,2.88227,0.00886,0.008218,0.008218,0.008218
20,1325.79,2.10719,3.56059,0.0098,0.19075,0.13625,0.1141,0.05351,1.76126,2.91409,0.00959,0.008119,0.008119,0.008119
21,1391.72,2.10334,3.58676,0.00962,0.30647,0.07813,0.0873,0.03638,1.83029,3.31587,0.01009,0.00802,0.00802,0.00802
22,1458.35,1.9742,3.49822,0.0088,0.18688,0.07537,0.06705,0.02771,2.1431,3.78177,0.01203,0.007921,0.007921,0.007921
23,1523.13,1.98064,3.41114,0.00906,0.17662,0.14662,0.09689,0.04857,1.58385,2.88398,0.00853,0.007822,0.007822,0.007822
24,1589.42,2.05473,3.47651,0.0089,0.24319,0.07292,0.09344,0.0468,1.80359,3.47408,0.00987,0.007723,0.007723,0.007723
25,1654.39,1.97856,3.33826,0.00889,0.20237,0.18018,0.11695,0.04853,1.75377,2.82044,0.00941,0.007624,0.007624,0.007624
26,1718.95,1.97198,3.4075,0.00882,0.22343,0.09581,0.10466,0.04975,1.74986,2.97696,0.00939,0.007525,0.007525,0.007525
27,1784.19,1.99305,3.40598,0.00908,0.235,0.18899,0.12552,0.06362,1.73956,3.0814,0.00958,0.007426,0.007426,0.007426
28,1850.04,2.03217,3.35748,0.00906,0.23228,0.21566,0.13011,0.0626,1.66894,2.82707,0.00889,0.007327,0.007327,0.007327
29,1915.38,1.89089,3.34295,0.0085,0.08628,0.0444,0.02868,0.01121,2.38349,4.18729,0.01395,0.007228,0.007228,0.007228
30,1980.12,1.9976,3.2754,0.00881,0.27559,0.11474,0.12583,0.05982,1.8719,3.25844,0.0109,0.007129,0.007129,0.007129
31,2045.42,1.94382,3.31018,0.00894,0.21863,0.11732,0.13688,0.06385,1.64001,2.83959,0.00872,0.00703,0.00703,0.00703
32,2112.68,1.87972,3.1841,0.00851,0.1975,0.13991,0.1315,0.07004,1.58332,2.75674,0.0084,0.006931,0.006931,0.006931
33,2178.88,1.84807,3.15289,0.00833,0.26684,0.16739,0.13345,0.05826,1.71019,3.29729,0.00935,0.006832,0.006832,0.006832
34,2245.29,1.93052,3.16059,0.00848,0.29191,0.14199,0.13186,0.06132,1.67225,3.20674,0.00904,0.006733,0.006733,0.006733
35,2309.92,1.89548,3.12877,0.00854,0.26586,0.26608,0.19925,0.09744,1.51191,2.66313,0.00803,0.006634,0.006634,0.006634
36,2374.61,1.89679,3.04279,0.00823,0.26169,0.291,0.16055,0.07411,1.59291,2.74585,0.00859,0.006535,0.006535,0.006535
37,2439.27,1.91577,3.13716,0.0084,0.28153,0.21468,0.16993,0.08448,1.62157,2.84096,0.00862,0.006436,0.006436,0.006436
38,2504.63,1.85362,2.9827,0.00818,0.31879,0.29358,0.2282,0.11342,1.52366,2.63223,0.00815,0.006337,0.006337,0.006337
39,2569.28,1.87633,3.11699,0.00845,0.23882,0.27938,0.17082,0.07348,1.68416,2.83592,0.00897,0.006238,0.006238,0.006238
40,2633.59,1.88439,3.06144,0.00868,0.22758,0.19662,0.12965,0.06028,1.72194,3.16721,0.00924,0.006139,0.006139,0.006139
41,2698.5,1.89412,3.00693,0.00817,0.3099,0.24368,0.19972,0.09618,1.5856,2.77937,0.00844,0.00604,0.00604,0.00604
42,2762.95,1.81019,2.99796,0.00831,0.28022,0.22642,0.18457,0.08898,1.6551,2.58687,0.00886,0.005941,0.005941,0.005941
43,2827.96,1.84852,3.02503,0.00802,0.33407,0.24838,0.21819,0.09854,1.60579,2.57512,0.00855,0.005842,0.005842,0.005842
44,2894.09,1.8221,2.93783,0.00798,0.30225,0.29659,0.22399,0.1098,nan,nan,nan,0.005743,0.005743,0.005743
45,2959.63,1.86794,3.02711,0.00804,0.29812,0.24146,0.19924,0.09436,1.6039,2.7405,0.00871,0.005644,0.005644,0.005644
46,3024.17,1.84057,2.86429,0.00812,0.2913,0.27371,0.2155,0.10008,1.56537,2.51684,0.00836,0.005545,0.005545,0.005545
47,3088.39,1.81806,2.85828,0.00808,0.26354,0.33304,0.20821,0.08903,1.59938,2.59621,0.00836,0.005446,0.005446,0.005446
48,3152.76,1.7711,2.84431,0.00794,0.22197,0.28338,0.16343,0.07293,1.65032,2.83554,0.00891,0.005347,0.005347,0.005347
49,3217.59,1.79694,3.01511,0.00793,0.28067,0.26837,0.20793,0.09024,1.64867,2.58004,0.00873,0.005248,0.005248,0.005248
50,3281.55,1.77711,2.97172,0.00818,0.33989,0.29268,0.23028,0.1168,1.59962,2.53503,0.00878,0.005149,0.005149,0.005149
51,3346.51,1.68646,2.79778,0.00757,0.33191,0.35157,0.25015,0.12167,1.5079,2.44184,0.008,0.00505,0.00505,0.00505
52,3411.21,1.76604,2.87365,0.00758,0.32102,0.23361,0.18922,0.0982,1.60489,3.03591,0.00874,0.004951,0.004951,0.004951
53,3477.83,1.76303,2.85018,0.00778,0.26465,0.34732,0.22984,0.11348,1.41913,2.53552,0.00741,0.004852,0.004852,0.004852
54,3545.08,1.79996,2.81065,0.00777,0.26484,0.33923,0.20768,0.10385,1.53724,2.62423,0.00831,0.004753,0.004753,0.004753
55,3610.74,1.81449,2.80956,0.00811,0.31492,0.33828,0.23487,0.11662,1.61219,2.37186,0.00866,0.004654,0.004654,0.004654
56,3676.87,1.73367,2.7575,0.00774,0.26959,0.2861,0.21641,0.10496,1.62578,2.49824,0.00862,0.004555,0.004555,0.004555
57,3744.15,1.82545,2.83483,0.00797,0.32688,0.26682,0.21947,0.11738,1.49348,2.57772,0.00799,0.004456,0.004456,0.004456
58,3809.39,1.75454,2.76511,0.00792,0.27095,0.35338,0.22509,0.11223,1.49482,2.39784,0.00788,0.004357,0.004357,0.004357
59,3874.02,1.71415,2.69132,0.00766,0.33983,0.26032,0.2545,0.1252,1.52656,2.57842,0.00815,0.004258,0.004258,0.004258
60,3939.15,1.76402,2.74348,0.00768,0.31982,0.38046,0.24924,0.12003,1.51148,2.39095,0.0079,0.004159,0.004159,0.004159
61,4004.24,1.72736,2.76293,0.00753,0.29186,0.25753,0.23262,0.12202,1.53354,2.52573,0.00812,0.00406,0.00406,0.00406
62,4069.33,1.71059,2.68349,0.0075,0.30969,0.32789,0.25686,0.11883,1.52555,2.46076,0.00826,0.003961,0.003961,0.003961
63,4135.08,1.72913,2.67583,0.00744,0.34867,0.25512,0.21706,0.11495,1.64225,2.9263,0.00895,0.003862,0.003862,0.003862
64,4198.98,1.74234,2.7302,0.00757,0.38726,0.35342,0.28606,0.1445,1.46334,2.48726,0.00785,0.003763,0.003763,0.003763
65,4265.1,1.70465,2.71594,0.00744,0.30286,0.29982,0.24086,0.12601,1.49615,2.61366,0.00809,0.003664,0.003664,0.003664
66,4329.67,1.73176,2.66432,0.00762,0.29947,0.3807,0.25614,0.13092,1.43516,2.30767,0.00754,0.003565,0.003565,0.003565
67,4394.15,1.70498,2.62236,0.00737,0.34918,0.33617,0.2344,0.09408,1.63879,2.47963,0.00867,0.003466,0.003466,0.003466
68,4458.42,1.74108,2.63079,0.00742,0.34063,0.31412,0.25523,0.12052,1.51581,2.3898,0.00799,0.003367,0.003367,0.003367
69,4522.33,1.65721,2.62783,0.0073,0.31343,0.36966,0.24595,0.12022,1.53836,2.40516,0.00834,0.003268,0.003268,0.003268
70,4586.69,1.67916,2.56225,0.0075,0.32238,0.33936,0.24575,0.11953,1.47297,2.5897,0.00777,0.003169,0.003169,0.003169
71,4651.16,1.6669,2.64478,0.00733,0.30864,0.36951,0.28092,0.12384,1.42689,2.36755,0.00748,0.00307,0.00307,0.00307
72,4715.72,1.70625,2.62887,0.00757,0.3224,0.38453,0.2602,0.13454,1.46024,2.5218,0.00777,0.002971,0.002971,0.002971
73,4780.18,1.67191,2.55219,0.00715,0.31917,0.36807,0.27656,0.13534,1.60116,2.33907,0.00868,0.002872,0.002872,0.002872
74,4844.57,1.7052,2.53763,0.00739,0.27694,0.34547,0.23231,0.0897,1.62055,2.62063,0.00849,0.002773,0.002773,0.002773
75,4908.37,1.71306,2.54694,0.00755,0.30214,0.43108,0.27127,0.13384,1.48515,2.42649,0.00784,0.002674,0.002674,0.002674
76,4972.88,1.6503,2.45257,0.00731,0.36969,0.38832,0.30714,0.15032,1.53644,2.34371,0.00831,0.002575,0.002575,0.002575
77,5036.63,1.63807,2.48598,0.00727,0.36311,0.35919,0.30215,0.15361,1.54186,2.3948,0.00847,0.002476,0.002476,0.002476
78,5101.88,1.66504,2.5249,0.00733,0.34663,0.38315,0.29123,0.15634,1.40628,2.34127,0.00741,0.002377,0.002377,0.002377
79,5165.93,1.6402,2.43555,0.00705,0.30829,0.37488,0.26205,0.13245,1.44367,2.43498,0.0076,0.002278,0.002278,0.002278
80,5230.84,1.67023,2.49558,0.00686,0.35522,0.38279,0.29184,0.1458,1.47902,2.37335,0.00782,0.002179,0.002179,0.002179
81,5294.96,1.69084,2.52615,0.00734,0.35785,0.39855,0.29551,0.14171,1.52092,2.32126,0.00807,0.00208,0.00208,0.00208
82,5359.19,1.6297,2.49574,0.00729,0.35196,0.34697,0.29672,0.14411,1.4297,2.28518,0.00757,0.001981,0.001981,0.001981
83,5423.83,1.62194,2.42854,0.00693,0.41035,0.36255,0.32419,0.16175,1.48523,2.37607,0.00797,0.001882,0.001882,0.001882
84,5488.52,1.61782,2.40449,0.00723,0.36187,0.38681,0.32071,0.15418,1.50351,2.27023,0.00793,0.001783,0.001783,0.001783
85,5552.47,1.6666,2.45466,0.00715,0.35341,0.35849,0.27107,0.1223,1.52908,2.5171,0.00806,0.001684,0.001684,0.001684
86,5616.58,1.59382,2.38301,0.00693,0.39322,0.38178,0.31851,0.15329,1.4995,2.2455,0.00793,0.001585,0.001585,0.001585
87,5680.73,1.63098,2.48969,0.00708,0.38577,0.34972,0.30766,0.15582,1.49015,2.23723,0.0079,0.001486,0.001486,0.001486
88,5745.24,1.60351,2.39112,0.00694,0.39869,0.34805,0.29555,0.15057,1.50756,2.23882,0.008,0.001387,0.001387,0.001387
89,5809.88,1.6186,2.37519,0.00711,0.38207,0.38573,0.31615,0.15531,1.50211,2.20399,0.008,0.001288,0.001288,0.001288
90,5873.85,1.60996,2.36507,0.00717,0.40097,0.3505,0.31727,0.16274,1.52144,2.31917,0.00823,0.001189,0.001189,0.001189
91,5939.13,1.46714,2.31526,0.00757,0.3856,0.36167,0.31561,0.15915,1.52565,2.48703,0.00819,0.00109,0.00109,0.00109
92,6003.94,1.41014,2.19185,0.00733,0.39346,0.39981,0.34077,0.17119,1.47901,2.09911,0.00787,0.000991,0.000991,0.000991
93,6067.9,1.42012,2.17694,0.0072,0.42259,0.37078,0.32608,0.16854,1.54008,2.3476,0.0083,0.000892,0.000892,0.000892
94,6132.11,1.40712,2.1107,0.00718,0.39727,0.39825,0.33149,0.17239,1.5347,2.1317,0.00819,0.000793,0.000793,0.000793
95,6196.73,1.42908,2.12494,0.0075,0.40489,0.42415,0.34141,0.18184,1.50233,2.16839,0.00802,0.000694,0.000694,0.000694
96,6261.3,1.40431,2.10095,0.00697,0.43546,0.34835,0.33246,0.16488,1.51527,2.21798,0.00803,0.000595,0.000595,0.000595
97,6325.59,1.37041,2.0272,0.00703,0.43226,0.36164,0.33494,0.17085,1.51731,2.1856,0.00808,0.000496,0.000496,0.000496
98,6389.47,1.39848,2.0402,0.00714,0.4269,0.35876,0.34077,0.17866,1.50938,2.13817,0.00804,0.000397,0.000397,0.000397
99,6454.48,1.39217,1.99753,0.00717,0.41358,0.34592,0.33322,0.17349,1.52686,2.13357,0.00815,0.000298,0.000298,0.000298
100,6518.98,1.40649,2.02223,0.00706,0.38952,0.39322,0.3336,0.16424,1.54359,2.18623,0.00817,0.000199,0.000199,0.000199
