epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4188,3.52441,9.32694,0.01792,0.0002,0.00671,0.0001,3e-05,2.72161,4.54354,0.01669,0.00330667,0.00330667,0.07024
2,139.863,3.17582,4.95106,0.01411,0,0,0,0,3.98888,4.80494,0.02989,0.00657426,0.00657426,0.0401743
3,204.074,2.96059,4.57349,0.01161,0,0,0,0,2.0317,5.35139,0.01169,0.00977586,0.00977586,0.0100425
4,267.943,2.70504,4.43702,0.01046,0,0,0,0,4.43738,6.10397,0.03794,0.009703,0.009703,0.009703
5,332.095,2.68075,4.30246,0.01037,0.0034,0.3909,0.00454,0.00123,2.15964,4.0888,0.01215,0.009604,0.009604,0.009604
6,396.311,2.57995,4.18857,0.00996,0.01411,0.4713,0.03267,0.01166,1.85514,3.9352,0.01043,0.009505,0.009505,0.009505
7,460.581,2.52947,4.06232,0.00908,0.01503,0.25069,0.02815,0.01553,1.98632,4.54147,0.01113,0.009406,0.009406,0.009406
8,525.363,2.51167,3.84584,0.0091,0.17552,0.06363,0.06374,0.02693,1.82638,3.83925,0.01027,0.009307,0.009307,0.009307
9,591.048,2.40756,3.69102,0.0085,0.02424,0.18005,0.03184,0.0157,2.56127,4.82881,0.01914,0.009208,0.009208,0.009208
10,655.139,2.33351,3.58434,0.00842,0.19659,0.06531,0.06955,0.03327,1.79607,3.76612,0.01036,0.009109,0.009109,0.009109
11,719.466,2.29779,3.53749,0.00805,0.18164,0.17867,0.11241,0.0591,1.51183,2.88207,0.00808,0.00901,0.00901,0.00901
12,783.158,2.27081,3.43652,0.00788,0.27145,0.04715,0.03642,0.01639,2.50102,4.42516,0.0144,0.008911,0.008911,0.008911
13,847.617,2.3164,3.33129,0.00815,0.26158,0.17518,0.13771,0.06762,1.68398,3.0201,0.00928,0.008812,0.008812,0.008812
14,911.402,2.28531,3.31335,0.00778,0.23045,0.18913,0.15027,0.07714,1.56687,2.99764,0.00848,0.008713,0.008713,0.008713
15,975.095,2.24332,3.33871,0.00773,0.03786,0.23146,0.05069,0.0265,1.91578,4.70101,0.01173,0.008614,0.008614,0.008614
16,1040.1,2.19635,3.20063,0.00781,0.28068,0.17531,0.16185,0.08169,1.52962,3.09558,0.00831,0.008515,0.008515,0.008515
17,1104.87,2.16312,3.16381,0.00749,0.22363,0.15092,0.13299,0.06531,1.60498,3.84625,0.00881,0.008416,0.008416,0.008416
18,1168.69,2.22178,3.11543,0.00765,0.24913,0.26902,0.1957,0.09643,1.66717,2.66805,0.0091,0.008317,0.008317,0.008317
19,1232.67,2.14072,3.13944,0.00772,0.18982,0.18438,0.12187,0.06136,1.74406,3.28218,0.01014,0.008218,0.008218,0.008218
20,1297.26,2.17082,3.09122,0.00745,0.26898,0.31557,0.22274,0.11244,1.46696,2.60022,0.0079,0.008119,0.008119,0.008119
21,1361.64,2.16573,3.08573,0.00736,0.3097,0.34852,0.24616,0.11623,1.46779,2.56085,0.00786,0.00802,0.00802,0.00802
22,1425.45,2.1657,3.09228,0.00766,0.2461,0.38806,0.21795,0.10113,1.58854,2.44163,0.00854,0.007921,0.007921,0.007921
23,1489.61,2.19068,3.04951,0.0074,0.29862,0.34942,0.22164,0.11076,1.49855,2.57688,0.00802,0.007822,0.007822,0.007822
24,1553.72,2.11887,2.92458,0.00735,0.27241,0.29784,0.21948,0.11777,1.41077,2.52811,0.00746,0.007723,0.007723,0.007723
25,1618.35,2.0938,3.01039,0.00705,0.25368,0.26902,0.21315,0.09867,1.54473,2.70254,0.00827,0.007624,0.007624,0.007624
26,1682.56,2.08175,2.92475,0.00726,0.26801,0.29866,0.16531,0.07083,1.65659,2.96736,0.00919,0.007525,0.007525,0.007525
27,1746.7,2.11567,2.83767,0.00716,0.25484,0.23193,0.14726,0.06695,1.7252,3.30739,0.00922,0.007426,0.007426,0.007426
28,1811.06,2.10578,2.8918,0.00707,0.32239,0.36289,0.26621,0.13611,1.50156,2.63962,0.00803,0.007327,0.007327,0.007327
29,1875.05,2.07195,2.91989,0.00678,0.25607,0.31858,0.2023,0.10989,1.3824,2.38349,0.00727,0.007228,0.007228,0.007228
30,1939.79,2.08375,2.81342,0.0066,0.26286,0.28902,0.19512,0.10041,1.48977,2.7774,0.00804,0.007129,0.007129,0.007129
31,2003.57,2.02277,2.89962,0.00676,0.2944,0.39298,0.2418,0.1175,1.42439,2.44774,0.00759,0.00703,0.00703,0.00703
32,2067.81,2.06786,2.83676,0.00707,0.29581,0.33643,0.23038,0.11198,1.60373,2.45698,0.00883,0.006931,0.006931,0.006931
33,2131.18,2.05372,2.77801,0.00692,0.28805,0.3656,0.22998,0.11903,1.52037,2.45419,0.00819,0.006832,0.006832,0.006832
34,2195.14,2.09808,2.72579,0.00714,0.33691,0.4106,0.29864,0.15919,1.49216,2.24603,0.00801,0.006733,0.006733,0.006733
35,2259.32,2.1094,2.74093,0.00698,0.24821,0.37682,0.24564,0.12305,1.53856,2.46656,0.00825,0.006634,0.006634,0.006634
36,2322.89,2.06102,2.70732,0.00693,0.28883,0.36943,0.27586,0.13323,1.47816,2.45221,0.00786,0.006535,0.006535,0.006535
37,2386.81,2.03671,2.68457,0.00654,0.29355,0.38178,0.26187,0.12928,1.50235,2.43191,0.008,0.006436,0.006436,0.006436
38,2451.18,2.0222,2.67775,0.00676,0.28889,0.41087,0.26263,0.13886,1.43557,2.33824,0.00759,0.006337,0.006337,0.006337
39,2515.38,2.03658,2.70077,0.00659,0.29113,0.37171,0.28739,0.15358,1.55209,2.24017,0.00839,0.006238,0.006238,0.006238
