epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.19,3.50806,5.11471,2.97612,0,0,0,0,2.61369,4.0628,2.21722,0.000196825,0.000196825,0.0805143
2,37.7487,2.9495,4.6425,2.34204,0.00225,0.14933,0.00152,0.00051,2.61042,3.65312,2.16355,0.000396728,0.000396728,0.0607142
3,52.2471,2.87365,4.57439,2.18674,0.00227,0.0453,0.00136,0.00063,2.59941,3.7752,2.20432,0.000596242,0.000596242,0.0409137
4,66.7741,2.80164,4.49871,2.12899,0.0042,0.13702,0.00326,0.00081,2.92604,4.00745,2.46753,0.000795075,0.000795075,0.0211125
5,81.2123,2.78654,4.51006,2.07957,0.00241,0.12416,0.00209,0.00069,2.70259,4.0814,2.23181,0.000992935,0.000992935,0.00131039
6,95.3228,2.77272,4.45931,2.08271,0.00548,0.25749,0.0069,0.00228,2.57007,3.69451,2.0541,0.000993906,0.000993906,0.000993906
7,109.804,2.78932,4.3352,2.04321,0.00263,0.17617,0.00217,0.00076,2.59733,3.68517,2.08381,0.000991232,0.000991232,0.000991232
8,124.841,2.75616,4.26924,2.04399,0.00316,0.21141,0.00333,0.00112,2.61214,3.47507,2.06413,0.000988079,0.000988079,0.000988079
9,139.646,2.70994,4.21001,2.03532,0.01038,0.2947,0.01189,0.00415,2.65709,3.63684,2.16308,0.000984449,0.000984449,0.000984449
10,154.537,2.69416,4.13897,2.00403,0.00821,0.42686,0.01096,0.00378,2.59536,3.3332,2.04127,0.000980345,0.000980345,0.000980345
