epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5871,3.50806,5.11471,2.97612,0,0,0,0,2.61369,4.0628,2.21722,0.000196825,0.000196825,0.0805143
2,37.4206,2.9495,4.6425,2.34204,0.00225,0.14933,0.00152,0.00051,2.61042,3.65312,2.16355,0.000396728,0.000396728,0.0607142
3,51.7905,2.87365,4.57439,2.18674,0.00227,0.0453,0.00136,0.00063,2.59941,3.7752,2.20432,0.000596242,0.000596242,0.0409137
4,66.3136,2.80164,4.49871,2.12899,0.0042,0.13702,0.00326,0.00081,2.92604,4.00745,2.46753,0.000795075,0.000795075,0.0211125
5,80.4,2.78654,4.51006,2.07957,0.00241,0.12416,0.00209,0.00069,2.70259,4.0814,2.23181,0.000992935,0.000992935,0.00131039
6,94.5044,2.77272,4.45931,2.08271,0.00548,0.25749,0.0069,0.00228,2.57007,3.69451,2.0541,0.000993906,0.000993906,0.000993906
7,108.949,2.78932,4.3352,2.04321,0.00263,0.17617,0.00217,0.00076,2.59733,3.68517,2.08381,0.000991232,0.000991232,0.000991232
8,123.655,2.75616,4.26924,2.04399,0.00316,0.21141,0.00333,0.00112,2.61214,3.47507,2.06413,0.000988079,0.000988079,0.000988079
9,138.049,2.70994,4.21001,2.03532,0.01038,0.2947,0.01189,0.00415,2.65709,3.63684,2.16308,0.000984449,0.000984449,0.000984449
10,152.251,2.69416,4.13897,2.00403,0.00821,0.42686,0.01096,0.00378,2.59536,3.3332,2.04127,0.000980345,0.000980345,0.000980345
11,176.368,2.7005,4.56006,1.99976,0,0,0,0,2.7766,8.0966,2.3155,0.000975773,0.000975773,0.000975773
12,200.973,2.7155,4.31502,1.98895,0,0,0,0,3.47419,8.57292,2.78718,0.000970736,0.000970736,0.000970736
13,225.413,2.7187,4.25104,2.01112,0.00532,0.20534,0.00536,0.00186,2.68901,3.94998,1.96401,0.000965239,0.000965239,0.000965239
14,249.728,2.71547,4.20713,2.01293,0,0,0,0,2.83048,5.35253,2.44937,0.000959289,0.000959289,0.000959289
15,274.262,2.76193,4.16057,1.98167,0.01042,0.22866,0.00772,0.00183,2.60183,3.67888,2.12934,0.000952889,0.000952889,0.000952889
16,298.866,2.65701,4.166,1.97179,0.00804,0.39115,0.00868,0.0029,2.51877,3.53612,1.98739,0.000946048,0.000946048,0.000946048
17,322.914,2.65506,4.04591,1.95845,0.008,0.00671,0.00407,0.00071,2.9217,5.2639,2.41919,0.000938772,0.000938772,0.000938772
18,347.216,2.65513,4.08784,1.92479,0.00474,0.24363,0.00657,0.00231,2.56773,3.88847,2.05971,0.000931067,0.000931067,0.000931067
19,371.887,2.64833,4.03945,1.9233,0.0073,0.35545,0.01214,0.00384,2.4731,3.59529,2.02093,0.000922942,0.000922942,0.000922942
20,396.146,2.68365,4.01665,1.92709,0.00657,0.32998,0.00901,0.00264,2.56026,3.80132,2.04509,0.000914405,0.000914405,0.000914405
21,420.493,2.59228,4.02541,1.93352,0.00729,0.15759,0.00631,0.00239,2.50001,4.3607,1.99338,0.000905463,0.000905463,0.000905463
22,444.773,2.60823,4.01843,1.93838,0.00826,0.32998,0.00971,0.00267,2.71849,3.56118,1.95762,0.000896127,0.000896127,0.000896127
23,469.168,2.58021,3.9164,1.91047,0.00802,0.43925,0.01601,0.00569,2.49605,3.75578,2.04092,0.000886404,0.000886404,0.000886404
24,493.76,2.58766,3.89638,1.92213,0.01111,0.58036,0.02648,0.00822,2.36925,3.28027,1.85973,0.000876305,0.000876305,0.000876305
25,518.248,2.56162,3.87393,1.89842,0.07399,0.04578,0.02545,0.00775,2.23644,3.22866,1.87788,0.000865839,0.000865839,0.000865839
26,542.889,2.52912,3.79457,1.91168,0.08925,0.08772,0.04025,0.01292,2.37942,3.11545,1.98412,0.000855018,0.000855018,0.000855018
27,567.348,2.53486,3.84072,1.91176,0.01149,0.52422,0.02585,0.00805,2.38714,3.30285,2.01052,0.000843851,0.000843851,0.000843851
28,591.94,2.48574,3.81121,1.88458,0.00503,0.07598,0.00318,0.00116,2.53159,4.30278,2.07032,0.000832349,0.000832349,0.000832349
29,616.6,2.5346,3.8488,1.88505,0.06616,0.1196,0.03735,0.01239,2.26621,3.14233,1.92863,0.000820525,0.000820525,0.000820525
